名称,地区,经度,维度,总价/万,单价/元,规格,大小/平方米,朝向,装修,楼层,楼层样式,关注人数
尊邸大厦,泉秀街,116.459315674798,39.9230077923451,391.5,15954,3室2厅,245,东东南,简装,中楼层(共23层),塔楼,30
东海湾御花园,东海,116.459315674798,39.9230077923451,481.7,35000,5室2厅,137,东南,简装,低楼层(共37层),板楼,30
海星小区,东海,118.574880290497,24.8346420806427,420,26210,5室2厅,160,东南南,简装,高楼层(共18层),塔楼,90
嘉琳广场,洛江区,114.614823444041,37.9428455771156,180,11496,3室2厅,156,东南,毛坯,高楼层(共33层),板楼,230
中骏裕景湾,城东,111.334114794437,36.813942203987,307,34495,3室2厅,89,东南,简装,低楼层(共33层),板塔结合,30
裕福康城,宝龙广场,118.608494164025,24.8950439854896,247.6,14001,4室2厅,176,南,毛坯,低楼层(共27层),板塔结合,270
园林宿舍,西湖,118.838215047269,24.9327274851229,132,14583,3室2厅,90,南,简装,中楼层(共5层),暂无数据,50
润柏香港城,城东,118.565185957098,24.9371838319111,140,15268,2室1厅,91,东南,精装,低楼层(共35层),板塔结合,50
蓝郡国际,台商投资区,90.4689058206392,29.1979207035318,89,9781,2室2厅,91,南,毛坯,高楼层(共29层),塔楼,50
嘉琳广场,洛江区,113.648057966687,22.8560520193224,144.12,15000,2室2厅,96,东南,简装,中楼层(共34层),板楼,50
嘉琳广场,洛江区,116.459315674798,39.9230077923451,189,12045,3室2厅,156,东南,毛坯,高楼层(共33层),板楼,70
华大泰禾广场,城东,121.252979030422,31.111429848439,46,9564,1室1厅,48,东南,简装,低楼层(共24层),板楼,250
金山南区,新门街,116.448260049226,39.9356945498851,168,26659,2室1厅,63,南北,简装,高楼层(共5层),板楼,30
鲤城区商业局宿舍,未知商圈,120.688524075084,28.1564503322057,190,21315,4室2厅,89,东北,简装,中楼层(共6层),暂无数据,30
中航城天悦,宝龙广场,114.408504658379,30.5129098769137,185.4,17910,3室2厅,103,南,毛坯,高楼层(共33层),板塔结合,70
海丝景城,泉州桥南,123.216812405808,41.2010747629446,207,15003,3室2厅,137,东南南,简装,低楼层(共30层),板塔结合,50
丰泽宝秀小区,赤山水库,104.316192637077,25.4048208330998,157,13024,3室2厅,120,南,毛坯,高楼层(共6层),板楼,190
菊秀苑小区,晋江万达,118.583115416427,24.8915005022612,114.5,11117,3室2厅,103,南,简装,中楼层(共6层),板楼,90
万达华府E区,晋江万达,104.097042665224,30.7604320399673,215,27011,3室1厅,79,南,精装,中楼层(共32层),板楼,70
茂诚皇江御景,浮桥,108.881880169212,32.2792076287093,249,19484,4室1厅,127,南北,毛坯,低楼层(共32层),暂无数据,30
海景国际花园-星域,赤山水库,121.281551433778,30.9419925440541,342,24821,3室2厅,137,东南,其他,中楼层(共24层),板塔结合,50
嘉龙尚都,清濛开发区,110.844576110161,35.4211088005356,110,10957,3室2厅,100,南西南北,精装,中楼层(共26层),塔楼,30
阳光曼哈顿,万达,114.089504877205,22.5486862804858,259,22137,3室2厅,117,南,简装,中楼层(共17层),塔楼,30
美仙山花苑二期,城东,118.61048409039,24.8900594475975,186,17932,2室2厅,103,南,简装,高楼层(共27层),板塔结合,30
迎津新村,泉秀街,116.459315674798,39.9230077923451,370,25343,4室3厅,146,南,简装,低楼层(共10层),板楼,30
澜湖郡,城东,103.834717951693,29.7623678076326,43.8,14052,3室2厅,31,东南,精装,低楼层(共19层),塔楼,30
东湖新村少林社区,东湖,121.342200081132,30.7620723991983,102,13973,2室1厅,73,南北,简装,中楼层(共5层),板楼,30
美仙山花苑二期,城东,121.497360798648,31.6823472261387,229,17004,3室1厅,134,南,简装,中楼层(共30层),板塔结合,30
绿创山语城,城东,116.471373360167,40.0149498469409,248,17972,4室2厅,138,东南,精装,中楼层(共33层),板楼,30
百信御江帝景二期,泉州桥南,118.563408300325,24.7926657439989,80,14742,3室2厅,54,东南,毛坯,高楼层(共19层),板塔结合,30
东海湾御花园,东海,121.567661469214,31.1967529615431,94,22155,1室1厅,42,南,简装,低楼层(共33层),板楼,30
南俊北路D区,东街,116.459315674798,39.9230077923451,220,33319,2室2厅,66,东南,简装,中楼层(共5层),板塔结合,50
东海泰禾广场,赤山水库,106.605359479269,29.6889485004111,75,14706,3室1厅,51,南,精装,中楼层(共24层),板塔结合,30
永隆国际社区,宝龙广场,121.567661469214,31.1967529615431,138,17000,2室2厅,81,东南,精装,高楼层(共31层),板楼,30
万达华府A区,晋江万达,118.637833810107,24.921765930167,239,24985,2室2厅,95,东南南,精装,低楼层(共31层),板楼,50
中骏四季花城2期,泉州桥南,114.153560527845,22.6243967181526,147,19279,2室2厅,76,南,精装,中楼层(共34层),塔楼,30
星光耀广场,城东,114.153560527845,22.6243967181526,85,11107,1室0厅,76,东东南南,毛坯,中楼层(共27层),板塔结合,30
万达华府A区,晋江万达,119.285480821556,26.094893690581,239,24985,2室2厅,95,东南南,精装,低楼层(共31层),板楼,50
润柏香港城,城东,113.962529662903,22.6357211932584,85,13261,3室2厅,64,东南,精装,中楼层(共18层),板塔结合,90
澜湖郡,城东,118.590244368952,24.9272836123722,205,23613,4室2厅,86,南,精装,中楼层(共19层),塔楼,70
许厝埕,西街,121.384846955557,31.178404296703,388,33631,3室2厅,115,南,精装,高楼层(共4层),暂无数据,50
三远花园,城北路,118.666822847549,24.9272854145853,445,31119,4室2厅,143,南,简装,低楼层(共7层),板楼,30
南益鲤景湾江苑,浮桥,118.677139886328,24.9337637069825,310,22304,4室2厅,138,东南,精装,低楼层(共30层),板塔结合,70
城西环路拓改工程南二区,城北路,116.069677905609,39.7144672064437,346,29936,3室2厅,115,南,简装,中楼层(共4层),板楼,90
海丝景城,泉州桥南,116.354213301317,35.401266974154,96,15504,1室1厅,61,南,简装,中楼层(共26层),板塔结合,30
福隆星城东区,浮桥,121.163487662473,28.4176574911504,198,12485,5室2厅,158,东南,精装,高楼层(共6层),板楼,330
中山花园,涂门街,116.09866191255,38.3066072553154,288,16822,5室2厅,171,南,简装,高楼层(共7层),板楼,150
中骏御金台,城东,118.59259999549,24.9260984876534,125,17965,1室0厅,69,南,精装,低楼层(共20层),板塔结合,50
和昌商城三期,丰泽街,123.216812405808,41.2010747629446,326,22798,4室2厅,143,东南,简装,高楼层(共4层),暂无数据,110
万荣公寓,洛江区,110.844576110161,35.4211088005356,165,12044,3室2厅,137,南,简装,高楼层(共6层),板楼,70
金龍花園,东湖,118.59721899259,24.8978259951626,220,11098,5室1厅,198,南,简装,高楼层(共7层),板楼,150
闻馨一品,城东,113.403799985042,22.5409402221977,470,26405,4室2厅,178,东,精装,低楼层(共30层),板塔结合,70
聚融苑,涂门街,121.630072035729,29.7967319596421,530,29363,4室2厅,180,南,精装,中楼层(共4层),板楼,230
华盛嘉园,洛江区,118.674774288599,24.9498448226422,183,9532,4室2厅,192,南,精装,高楼层(共6层),板楼,250
吉源花苑,洛江区,121.356564704881,31.1265341772342,110,10833,3室2厅,101,南,简装,高楼层(共6层),板楼,270
万源花苑,洛江区,114.409516258719,30.6244558107813,58.3,10000,1室1厅,58,南北,简装,高楼层(共7层),板楼,30
蓝海国际,泉港区,113.606581045372,23.5573381775427,59.5,3766,4室2厅,158,南,毛坯,高楼层(共17层),暂无数据,50
圣湖小区,丰泽街,118.590244368952,24.9272836123722,398,23006,4室2厅,173,南北,精装,高楼层(共7层),板楼,70
百德康桥假日,石狮中心,118.599685559858,24.8960788886932,155,8430,4室2厅,183,南,精装,低楼层(共29层),板楼,150
嘉琳广场,洛江区,113.228878971788,23.3274900194551,115,13594,2室2厅,84,东南,简装,高楼层(共33层),板楼,30
宏辉商林城,涂门街,114.467453011568,38.0664329685878,398,18174,5室3厅,219,南北,简装,高楼层(共6层),板楼,210
瀚昌豪园,石狮中心,116.441968137773,39.9461284659415,69,6572,3室1厅,105,东南,简装,中楼层(共10层),板楼,30
新华小区建南花园,西湖,113.756220328022,23.0533100101364,254.6,20581,3室2厅,123,南北,精装,中楼层(共7层),板楼,30
市教育公寓,东街,118.677823856143,24.9554296200202,288,39928,3室1厅,72,南北,简装,高楼层(共5层),暂无数据,30
嘉惠小区B区,惠安县,116.777487835172,23.4756763682883,119,9775,3室2厅,121,南,精装,高楼层(共18层),暂无数据,30
世纪花园,宝龙广场,116.380110371203,39.8887129142416,183,13682,3室2厅,133,东,精装,高楼层(共12层),板楼,30
龙湖嘉天下紫晋城,池店南,120.561627120105,31.354959612105,285,20764,4室2厅,137,南,毛坯,中楼层(共33层),板楼,50
天元未来城,南安水头镇,118.056109413726,32.8241647052214,140,14932,3室2厅,93,南,毛坯,中楼层(共16层),板楼,50
世纪花园,宝龙广场,116.459315674798,39.9230077923451,183,13682,3室2厅,133,东,精装,高楼层(共12层),板楼,30
中央公园首府,泉州桥南,118.583115416427,24.8915005022612,280,23297,3室2厅,120,东,简装,低楼层(共32层),塔楼,30
中骏蓝湾悦庭,泉州桥南,121.497360798648,31.6823472261387,205,23141,3室2厅,88,南,简装,低楼层(共34层),板塔结合,50
锦峰苑,晋江万达,117.04053820417,30.5182319246508,260,26969,2室2厅,96,南,精装,低楼层(共18层),板楼,30
双龙湾花苑,晋江万达,117.04053820417,30.5182319246508,186,13479,3室1厅,138,东南,精装,高楼层(共13层),板楼,30
百捷中央公园华府,泉州桥南,120.727429793507,31.0127717336159,165,22110,3室2厅,74,东南,简装,低楼层(共22层),塔楼,90
百捷中央墅府,泉州桥南,116.567750761721,39.9139654311395,306,25933,3室2厅,118,南,精装,高楼层(共26层),板楼,50
恒大翡翠华庭,洛江区,115.724533926973,39.5762123524515,155,14762,3室2厅,105,南,精装,中楼层(共10层),板楼,50
福隆星城东区,浮桥,114.467453011568,38.0664329685878,165,11437,4室1厅,144,南,简装,高楼层(共6层),板楼,90
星光耀广场,城东,108.322462106784,22.7944361782375,48,12573,1室1厅,38,西南,精装,低楼层(共26层),板塔结合,30
御文阁1期,东海,118.523666995085,24.9252137530431,248,22175,3室2厅,111,东,简装,中楼层(共38层),板塔结合,30
东海湾雅园,东海,118.574378676701,24.8861197733541,248.8,18166,3室2厅,136,北,简装,中楼层(共30层),板楼,70
恒大御景湾,泉州桥南,113.756220328022,23.0533100101364,318.4,24002,3室2厅,132,南,精装,低楼层(共31层),板塔结合,30
大铭新村邮电小区,东湖,113.30569936406,23.0911414270198,228,14474,4室2厅,157,南北,简装,中楼层(共8层),板塔结合,30
辉映江山二期,展览城,122.229319711238,40.6737132954481,235,17671,3室2厅,132,南北,简装,低楼层(共28层),塔楼,30
泉商观邸二期,泉州桥南,117.640613920432,30.7699288040024,200,19756,4室2厅,101,南北,简装,高楼层(共30层),板楼,30
中骏蓝湾悦庭,泉州桥南,116.354213301317,35.401266974154,258.8,25622,3室1厅,101,东南,精装,中楼层(共33层),平房,30
冠亚城市花园,丰泽街,117.640613920432,30.7699288040024,185,23725,2室1厅,77,东南,精装,中楼层(共6层),塔楼,70
太平洋花园,丰泽街,116.448260049226,39.9356945498851,330,25247,4室1厅,130,北东西,简装,中楼层(共7层),板楼,30
华大泰禾广场,城东,116.472882064271,39.9301920842606,55,10957,1室0厅,50,南,精装,低楼层(共24层),板楼,50
金帝花园,泉秀街,114.089504877205,22.5486862804858,215,21777,3室2厅,98,南北,简装,中楼层(共8层),板楼,30
春满城二期花园小区,泉港区,116.380110371203,39.8887129142416,60,4128,3室2厅,145,南,简装,高楼层(共6层),暂无数据,30
东星荷景园,南安水头镇,116.723524646933,23.3777757806284,98,6936,3室2厅,141,东南,简装,中楼层(共26层),暂无数据,30
盛世城品,南环路,118.523666995085,24.9252137530431,60,8941,3室2厅,67,西南,毛坯,低楼层(共21层),板塔结合,30
百捷中央名门,泉州桥南,116.448260049226,39.9356945498851,218,25046,3室2厅,87,南,精装,高楼层(共32层),塔楼,30
锦绣江南,清濛开发区,101.772404881756,36.6562936308366,138,11550,3室2厅,119,东南,精装,低楼层(共18层),板楼,70
经典名门东区,丰泽街,122.087938361706,45.5793068076792,1388,47871,4室2厅,289,东南,精装,中楼层(共29层),板楼,30
兰峰城市花园,SM广场,116.459315674798,39.9230077923451,159,13196,3室2厅,120,南,精装,中楼层(共9层),板塔结合,50
东海湾和园,东海,118.65965410009,24.9203364563519,398,22048,4室2厅,180,南,精装,中楼层(共32层),板塔结合,30
城市晶典,晋江万达,104.094842894691,30.7602284671211,94.5,15803,2室1厅,59,东南,精装,低楼层(共10层),板楼,30
裕福康城,宝龙广场,116.069677905609,39.7144672064437,158,17753,2室1厅,89,东南,简装,高楼层(共28层),板塔结合,30
东星荷景园,南安水头镇,104.097042665224,30.7604320399673,98,6936,3室2厅,141,东南,简装,中楼层(共26层),暂无数据,30
百捷中央名门,泉州桥南,119.908462716001,31.8076466577537,218,25046,3室2厅,87,南,精装,高楼层(共32层),塔楼,30
宏基丽景花苑,展览城,118.58810990523,24.8222735690467,136,11472,3室1厅,118,南,简装,中楼层(共7层),板楼,70
百捷星光城,泉州桥南,118.569081009788,24.7821409954892,235,25762,3室2厅,91,南,精装,高楼层(共31层),板塔结合,30
竹园新城,晋江万达,118.783103016114,25.0180302910972,136,15570,3室2厅,87,南,简装,中楼层(共11层),板塔结合,30
嘉龙现代城,清濛开发区,116.693977867236,39.870157124364,129,11518,3室2厅,112,东南,简装,低楼层(共12层),暂无数据,30
保利城二期央玺,城东,113.962529662903,22.6357211932584,51,16165,2室1厅,31,东南,精装,低楼层(共18层),板塔结合,110
中骏御金台,城东,118.917662713664,25.1358088458677,95,17858,2室1厅,53,东,简装,高楼层(共20层),板塔结合,50
蓝海国际,泉港区,118.783103016114,25.0180302910972,46,3751,3室2厅,122,南,毛坯,中楼层(共22层),板楼,30
蓝海国际,泉港区,118.783103016114,25.0180302910972,46,3751,3室2厅,122,南,毛坯,中楼层(共22层),板楼,30
南益汇景豪庭,城东,118.783103016114,25.0180302910972,319,32291,3室2厅,98,东南,毛坯,低楼层(共25层),板塔结合,50
港通公园一号,泉港区,118.533583838759,25.0750176960984,60,5485,3室2厅,109,东南南,毛坯,高楼层(共18层),板塔结合,30
君悦华庭,惠安县,120.561627120105,31.354959612105,218,9277,4室2厅,235,东南,其他,高楼层(共11层),板楼,30
庄园泉港中心商贸城,泉港区,114.485788415163,38.0924575093743,50,3325,4室2厅,150,南北,精装,高楼层(共5层),暂无数据,70
福隆商业广场二期,晋江万达,118.917282330535,25.1325865128548,580,19142,6室1厅,303,南,精装,高楼层(共13层),板塔结合,50
福炼社区新区,泉港区,118.934730824716,25.1424342635432,40.5,4822,3室2厅,84,南,简装,高楼层(共6层),暂无数据,90
春满城二期花园小区,泉港区,121.573562348279,31.1550588352049,43,4306,2室2厅,99,南,简装,高楼层(共6层),暂无数据,250
文景雅苑,SM广场,118.533583838759,25.0750176960984,230,10361,4室3厅,221,南北,简装,高楼层(共11层),板塔结合,70
庄园金第旺座,泉港区,118.533583838759,25.0750176960984,63,4703,3室2厅,133,北南,毛坯,高楼层(共17层),板塔结合,30
浪花豪苑,泉港区,112.130783669293,22.484095624013,88,7097,4室2厅,124,南,精装,高楼层(共18层),板塔结合,70
润柏香港城,城东,112.960597066914,22.9380897602882,90,13823,2室1厅,65,东北,毛坯,低楼层(共35层),板塔结合,290
绿创山语城,城东,115.314895834757,38.9695892250364,193,17120,3室2厅,112,东南,毛坯,中楼层(共33层),板楼,410
一塑宿舍,城北路,103.533364042462,30.572054976376,238,23184,3室1厅,102,北南,简装,低楼层(共5层),暂无数据,110
西街老厝尾麻袋厂宿舍,新门街,118.783103016114,25.0180302910972,120,17511,2室1厅,68,东南,毛坯,中楼层(共5层),暂无数据,130
中骏裕景湾,城东,118.783103016114,25.0180302910972,442,34983,3室2厅,126,东,毛坯,高楼层(共33层),板塔结合,30
宝德城东商城,城东,118.783103016114,25.0180302910972,250,29395,4室2厅,85,东南,毛坯,高楼层(共4层),塔楼,70
中骏雍景台,城东,118.783103016114,25.0180302910972,400,31736,3室2厅,126,南北,毛坯,高楼层(共31层),板塔结合,190
中骏雍景台,城东,118.783103016114,25.0180302910972,400,31736,3室2厅,126,南北,毛坯,高楼层(共31层),板塔结合,190
华盛嘉园,洛江区,118.783103016114,25.0180302910972,187.8,10376,4室2厅,181,南,毛坯,高楼层(共6层),板楼,30
润柏香港城,城东,118.783103016114,25.0180302910972,88.5,14504,2室1厅,61,南,毛坯,高楼层(共35层),板塔结合,70
蓝郡国际,台商投资区,118.783103016114,25.0180302910972,80,9764,2室2厅,81,南,毛坯,低楼层(共32层),塔楼,30
中骏雍景台,城东,118.578292773468,24.7848236286796,370,29340,3室2厅,126,南,毛坯,低楼层(共31层),板塔结合,50
逸涛商住城,泉港区,118.65965410009,24.9203364563519,69,4980,4室2厅,138,东南南,精装,高楼层(共6层),暂无数据,30
中骏雍景台,城东,116.693977867236,39.870157124364,408,32381,3室2厅,126,东南,毛坯,高楼层(共31层),板塔结合,30
润柏香港城,城东,118.524188,24.859299,100,15791,2室1厅,63,西南,毛坯,高楼层(共35层),板塔结合,70
润柏香港城,城东,114.614823444041,37.9428455771156,82,14299,3室2厅,57,南,精装,高楼层(共18层),板塔结合,50
绿色人家,洛江区,118.941968435332,25.1616132196209,135,9209,4室2厅,146,东南,精装,高楼层(共15层),板楼,130
泉州商城,丰泽街,108.19325451346,27.7450291184701,920,34794,5室2厅,264,东南,简装,高楼层(共8层),板楼,90
嘉琳广场,洛江区,118.677823856143,24.9554296200202,190,11920,3室2厅,159,东南,毛坯,高楼层(共33层),板楼,70
金山南区,新门街,118.783103016114,25.0180302910972,193,20988,3室2厅,91,西南,简装,高楼层(共4层),塔楼,50
明发商业城,南安水头镇,118.783103016114,25.0180302910972,79,5290,4室2厅,149,南北,毛坯,低楼层(共24层),板楼,30
中骏裕景湾,城东,120.67469312896,24.1229626228298,485,33662,4室2厅,144,南,毛坯,低楼层(共33层),板楼,250
后厝街花园,紫帽镇,112.610883228603,26.8940316759678,159.9,9904,4室2厅,161,南,毛坯,高楼层(共24层),板塔结合,90
润柏香港城,城东,116.448260049226,39.9356945498851,90,15790,2室2厅,57,南,精装,中楼层(共18层),板塔结合,330
星光耀广场,城东,118.612830702792,24.911029897897,240,30012,3室2厅,79,南,精装,中楼层(共41层),板塔结合,170
嘉琳广场,洛江区,118.783103016114,25.0180302910972,200,13152,3室2厅,152,东南,毛坯,高楼层(共33层),板楼,30
润柏香港城,城东,118.783103016114,25.0180302910972,92.9,14251,2室1厅,65,北,毛坯,高楼层(共35层),板塔结合,30
润柏香港城,城东,119.265609315546,25.9600474491194,93.5,14343,2室1厅,65,南,毛坯,高楼层(共35层),板塔结合,30
塘头嘉园,紫帽镇,118.595328688306,25.0912789146907,260,11293,5室2厅,230,南,毛坯,高楼层(共18层),板楼,30
中山南路71号,涂门街,116.559933976665,40.0782372532699,225,29359,2室1厅,76,东南南,简装,低楼层(共6层),板塔结合,90
润柏香港城,城东,116.459315674798,39.9230077923451,97,14760,2室2厅,65,东南,精装,高楼层(共35层),板塔结合,50
华泰国际新城,SM广场,118.677823856143,24.9554296200202,165,13416,5室2厅,122,东南,精装,高楼层(共6层),板楼,110
润柏香港城,城东,119.265609315546,25.9600474491194,95.8,14524,2室1厅,65,西,毛坯,高楼层(共35层),板塔结合,30
润柏香港城,城东,114.614823444041,37.9428455771156,93,14100,2室1厅,65,西,毛坯,高楼层(共35层),板塔结合,30
嘉琳广场,洛江区,113.962529662903,22.6357211932584,180,11393,3室2厅,158,东南,毛坯,低楼层(共33层),板楼,90
中骏御金台,城东,118.90906,25.125535,100,18640,3室2厅,53,南,精装,中楼层(共20层),板塔结合,50
兰峰城市花园,SM广场,118.600454239883,24.9013548740441,408,15018,5室3厅,271,东南,精装,高楼层(共10层),板塔结合,30
兰峰城市花园,SM广场,125.375441085268,43.8855637919725,408,15018,5室3厅,271,东南,精装,高楼层(共10层),板塔结合,30
星光耀广场,城东,118.677823856143,24.9554296200202,346,29805,3室2厅,116,南,毛坯,低楼层(共37层),板塔结合,110
新兴小区,东街,118.595328688306,25.0912789146907,600,41125,5室2厅,145,南,简装,中楼层(共7层),板楼,50
华盛嘉园,洛江区,118.90906,25.125535,187.8,10376,4室2厅,181,南,毛坯,高楼层(共6层),板楼,30
泰禾首府,城东,118.783103016114,25.0180302910972,200,22635,2室1厅,88,南,简装,中楼层(共38层),板塔结合,70
润柏香港城,城东,118.677823856143,24.9554296200202,87.3,14307,2室1厅,61,南,毛坯,高楼层(共35层),板塔结合,30
星光耀广场,城东,118.600454239883,24.9013548740441,240,30012,3室2厅,79,南,精装,中楼层(共41层),板塔结合,170
润柏香港城,城东,118.783103016114,25.0180302910972,90,15790,2室2厅,57,南,精装,中楼层(共18层),板塔结合,330
润柏香港城,城东,118.587598,24.89468,95,14456,2室1厅,65,东南,毛坯,中楼层(共35层),板塔结合,90
嘉琳广场,洛江区,101.809569038331,36.6057076456612,200,13152,3室2厅,152,东南,毛坯,高楼层(共33层),板楼,30
明发商业城,南安水头镇,116.448260049226,39.9356945498851,79,5290,4室2厅,149,南北,毛坯,低楼层(共24层),板楼,30
东盛帝豪,泉港区,118.677823856143,24.9554296200202,49.9,2486,5室2厅,200,南,毛坯,高楼层(共6层),暂无数据,70
泰禾首府,城东,120.204289901799,30.2326181875679,195,21962,2室2厅,88,南北,毛坯,高楼层(共32层),板塔结合,70
润柏香港城,城东,120.64137526972,30.9864602195916,134,14559,2室1厅,92,东北,毛坯,高楼层(共35层),板塔结合,50
中骏裕景湾,城东,113.330732982681,23.1054590177025,485,33662,4室2厅,144,南,毛坯,低楼层(共33层),板楼,250
嘉琳广场,洛江区,114.614823444041,37.9428455771156,115,13720,2室1厅,83,南,毛坯,中楼层(共34层),板楼,70
新天城市广场三区（湖郡苑）,浮桥,119.265609315546,25.9600474491194,670,31978,5室2厅,209,东南,毛坯,低楼层(共41层),板塔结合,30
明发商业城,南安水头镇,116.459315674798,39.9230077923451,88,6020,4室2厅,146,南,简装,高楼层(共24层),板楼,70
华景仁居,洛江区,116.255256145999,40.2136255802576,165,11818,3室1厅,139,南,简装,中楼层(共6层),板塔结合,130
南益汇景豪庭,城东,116.24944752291,40.2067238658127,375,37750,3室2厅,99,东南,简装,高楼层(共22层),板塔结合,150
盛达阳光城,泉港区,114.038638956533,22.5412180281092,48,3935,4室2厅,122,南,毛坯,低楼层(共17层),板塔结合,410
成功街,南安中心,108.881880169212,32.2792076287093,86,5621,4室2厅,153,南北,简装,中楼层(共8层),暂无数据,50
学府上城,城东,104.10574473036,30.6919122314052,228,16791,3室1厅,135,南,毛坯,中楼层(共27层),板楼,30
润柏香港城,城东,118.408459,24.958537,93,14143,2室1厅,65,西,毛坯,高楼层(共35层),板塔结合,50
南亿花园,泉港区,118.783103016114,25.0180302910972,85,5152,4室2厅,165,南北,精装,中楼层(共7层),暂无数据,30
丽港尊品,泉港区,116.411306635123,39.8562300371275,57,4506,3室2厅,126,南,毛坯,中楼层(共15层),暂无数据,50
建发珑璟湾,站前大道,115.114025110857,35.2817249367999,360,25225,4室2厅,142,南,简装,高楼层(共32层),板塔结合,150
百德康桥假日,石狮中心,116.459315674798,39.9230077923451,178,8028,5室1厅,221,南北,精装,低楼层(共31层),板楼,110
逸涛步行街,泉港区,120.697357938594,31.781128785923,58,2639,5室2厅,219,南北,简装,高楼层(共6层),暂无数据,650
庄园金第旺座,泉港区,118.673967879743,24.9457689849798,79.9,5833,3室2厅,137,南,精装,中楼层(共17层),板塔结合,30
滨江花园城E区,新门街,118.677823856143,24.9554296200202,370,19229,4室2厅,192,南北,简装,低楼层(共23层),塔楼,130
钟楼公寓,东街,115.114025110857,35.2817249367999,430,38007,3室2厅,113,南北,简装,中楼层(共7层),板楼,70
成功街,南安中心,121.248049578936,31.0667764710522,86,5621,4室2厅,153,南北,简装,中楼层(共8层),暂无数据,50
盛达阳光城,泉港区,118.673967879743,24.9457689849798,48,3935,4室2厅,122,南,毛坯,低楼层(共17层),板塔结合,410
新天城市广场三区（湖郡苑）,浮桥,120.561627120105,31.354959612105,697,33267,6室2厅,209,南,毛坯,高楼层(共41层),板塔结合,30
星光耀广场,城东,116.459315674798,39.9230077923451,85,14371,3室1厅,59,东南,毛坯,中楼层(共27层),板塔结合,270
丽港尊品,泉港区,110.581823172164,27.0611296536303,57,4506,3室2厅,126,南,毛坯,中楼层(共15层),暂无数据,50
润柏香港城,城东,120.204289901799,30.2326181875679,93,14143,2室1厅,65,西,毛坯,高楼层(共35层),板塔结合,50
学府上城,城东,116.069677905609,39.7144672064437,228,16791,3室1厅,135,南,毛坯,中楼层(共27层),板楼,30
逸涛步行街,泉港区,116.459315674798,39.9230077923451,58,2639,5室2厅,219,南北,简装,高楼层(共6层),暂无数据,650
南亿花园,泉港区,116.459315674798,39.9230077923451,85,5152,4室2厅,165,南北,精装,中楼层(共7层),暂无数据,30
永宏花苑,丰泽街,121.630072035729,29.7967319596421,268,23946,3室2厅,111,东南,精装,中楼层(共7层),板楼,170
华盛嘉园,洛江区,116.459315674798,39.9230077923451,150,9628,4室2厅,155,南北,简装,高楼层(共7层),板楼,170
晋江宝龙国际社区西区,宝龙广场,109.423275052937,24.3577297062532,310,20998,4室2厅,147,南,精装,高楼层(共25层),板楼,110
中骏柏景湾,城东,116.332331746891,40.0518872452203,312,34694,3室2厅,89,南,毛坯,高楼层(共33层),板塔结合,30
中骏裕景湾,城东,118.612697874488,24.883290868415,280,31444,3室2厅,89,东南东北,精装,中楼层(共33层),板塔结合,90
南益汇景豪庭,城东,124.074320382914,40.4658203325896,480,37533,3室2厅,127,南,毛坯,高楼层(共22层),板塔结合,30
保利城一期,城东,115.858994166788,28.6807004789818,369,32968,4室2厅,111,东南,毛坯,高楼层(共18层),板塔结合,190
润柏香港城,城东,112.960597066914,22.9380897602882,134,14596,2室1厅,91,西南,毛坯,高楼层(共35层),板塔结合,50
吉源花苑,洛江区,118.567603746377,24.8934925975347,186,7882,7室2厅,236,西南,简装,高楼层(共5层),板楼,50
港通公园一号,泉港区,112.802694092219,21.9750035298504,61,5250,3室2厅,116,南,精装,中楼层(共16层),板塔结合,30
联达嘉园,惠安县,116.824929790242,40.0720878791771,95,8408,3室2厅,113,东南,毛坯,中楼层(共16层),板楼,30
大江盛世C区,洛江区,116.250167245285,40.2263443070461,338,18801,4室2厅,179,南,毛坯,高楼层(共25层),板楼,30
新亭尾小区,惠安县,123.423088323792,41.7992322620494,160,10954,4室2厅,146,南,精装,高楼层(共18层),暂无数据,30
华泉盛世豪庭,泉港区,118.614867911108,24.8859165460766,52,4685,3室2厅,111,南,毛坯,中楼层(共18层),暂无数据,50
远太大厦,涂门街,116.366249607015,39.8885325716169,270,18121,3室2厅,149,东南,精装,低楼层(共22层),板楼,70
丽景花苑,石狮中心,119.287398075005,29.4811540269684,128,5486,4室2厅,233,东西,精装,高楼层(共7层),暂无数据,130
星光耀广场,城东,116.358062270936,39.7619582852397,372,31943,3室2厅,116,南,简装,低楼层(共41层),板塔结合,30
东海湾中心,东海,116.358062270936,39.7619582852397,405,14116,6室2厅,286,东南,简装,中楼层(共26层),塔楼,30
嘉琳广场,洛江区,116.358062270936,39.7619582852397,200,13009,3室2厅,153,东南,简装,中楼层(共33层),板楼,30
银星花园,宝龙广场,121.319294151222,31.2189007309197,128.3,8495,4室2厅,151,南,简装,高楼层(共8层),板楼,110
中骏御金台,城东,121.356488887895,31.3215271167977,93,17335,3室1厅,53,东南,精装,低楼层(共20层),板塔结合,30
中骏云景台,宝龙广场,118.597165,24.9172,268,19270,4室2厅,139,南,毛坯,中楼层(共33层),暂无数据,30
福隆星城东区,浮桥,121.198859769785,31.2986816918893,175,15419,3室2厅,113,南,毛坯,中楼层(共6层),板塔结合,270
洞口小区,惠安县,115.94203954675,25.4230539786493,135.1,9650,4室2厅,140,东南,精装,低楼层(共18层),板楼,30
