名称,地区,经度,维度,总价/万,单价/元,规格,大小/平方米,朝向,装修,楼层,楼层样式,关注人数
摩卡小镇,展览城,118.759565092484,34.5479186273643,143,16868,3室2厅,84,南北,精装,中楼层(共14层),板塔结合,130
中奥名雅居,宝龙广场,113.848977648171,22.5920358049217,208,20311,3室2厅,102,南,精装,27层,板塔结合,50
田润御园,泉港区,121.163487662473,28.4176574911504,150,11893,4室2厅,126,东南,精装,中楼层(共23层),暂无数据,50
东湖新村少林社区,东湖,118.575035697351,24.8073657964987,115,13043,3室2厅,88,南,简装,中楼层(共5层),板楼,70
海城花苑,城东,112.130783669293,22.484095624013,203.5,17916,3室2厅,113,东南南,精装,中楼层(共28层),平房,110
东海湾和园,东海,116.459315674798,39.9230077923451,372,20608,4室2厅,180,东南,精装,中楼层(共32层),板塔结合,290
建发中泱天成,洛江区,120.561627120105,31.354959612105,198,19118,3室2厅,103,南北,毛坯,高楼层(共17层),暂无数据,150
津汇红树湾,洛江区,118.583115416427,24.8915005022612,382,22793,5室2厅,167,东南南,精装,低楼层(共18层),板楼,50
东明商厦,洛江区,111.334114794437,36.813942203987,200,12391,4室2厅,161,南,简装,中楼层(共12层),平房,150
蓝水湾,泉港区,104.097042665224,30.7604320399673,46.2,3211,4室2厅,143,东南,毛坯,中楼层(共10层),暂无数据,30
世茂云城二期,泉港区,106.941228453403,29.5281498344948,92.3,7384,3室1厅,125,南,精装,中楼层(共34层),板塔结合,50
建发珑璟湾,站前大道,116.255256145999,40.2136255802576,345,21166,4室2厅,163,东南,毛坯,低楼层(共39层),板塔结合,30
力标吉源雅苑,洛江区,117.04053820417,30.5182319246508,123,18840,2室2厅,65,东南,精装,高楼层(共33层),板楼,30
卓辉海港城,泉州桥南,121.567661469214,31.1967529615431,236,22235,3室2厅,106,南,精装,中楼层(共32层),塔楼,50
国际星城,丰泽街,116.473766176554,39.9642804268245,399,29897,3室2厅,133,南,精装,高楼层(共18层),塔楼,170
中骏四季花城2期,泉州桥南,116.855847040471,40.473113051288,168,19418,3室2厅,86,南,毛坯,高楼层(共34层),塔楼,70
卓辉汇景城,晋江万达,118.580578062684,24.8458588515739,188,15474,3室2厅,121,南,精装,高楼层(共27层),板楼,70
天山广场,惠安县,113.648057966687,22.8560520193224,135,11606,3室2厅,116,南北,毛坯,中楼层(共29层),平房,70
中升雅园,万达,119.287398075005,29.4811540269684,268,19450,4室2厅,137,南,简装,中楼层(共14层),板楼,270
中骏蓝湾悦庭,泉州桥南,114.126926218636,22.5652549845617,207,23505,3室2厅,88,南北,精装,低楼层(共33层),平房,410
万科金域滨江一期,泉州桥南,121.356488887895,31.3215271167977,208,22287,4室2厅,93,南,简装,中楼层(共32层),塔楼,130
百信御江帝景一期,泉州桥南,121.356488887895,31.3215271167977,408,23971,4室2厅,170,南,毛坯,低楼层(共36层),塔楼,50
明鑫广场,宝龙广场,113.9294595337,22.96282412786,195,13918,3室2厅,140,南,精装,高楼层(共18层),板楼,30
东霞新村,泉秀街,119.304814691719,26.0783995148112,170,13889,3室2厅,122,南,简装,中楼层(共8层),板楼,90
中骏四季花城2期,泉州桥南,116.131867955387,39.9184800524545,191,19812,3室1厅,96,东南,精装,高楼层(共34层),板楼,90
百信御江帝景一期,泉州桥南,118.577412254407,24.8868306564333,460,26498,4室2厅,173,南北,精装,中楼层(共36层),塔楼,90
恒大翡翠华庭,洛江区,117.04053820417,30.5182319246508,138,11258,4室2厅,122,南,毛坯,中楼层(共11层),板楼,170
宝德公寓,泉秀街,116.459315674798,39.9230077923451,185,21038,3室2厅,87,南北,简装,低楼层(共14层),板楼,170
迎宾花苑,展览城,103.966924010409,30.6721608770754,95,8733,3室2厅,108,南北,毛坯,低楼层(共7层),板楼,110
中骏四季花城,泉州桥南,118.580578062684,24.8458588515739,165,19187,3室1厅,86,南,简装,高楼层(共30层),板楼,110
湖景花园,晋江万达,118.57962199613,24.8934920239444,136,11924,3室2厅,114,南,毛坯,高楼层(共16层),板塔结合,310
百宏御璟天下,晋江万达,114.126926218636,22.5652549845617,268.42,22000,3室2厅,122,东南,毛坯,高楼层(共32层),板楼,250
新城旺角,清濛开发区,118.626096,24.741766,85,9562,3室2厅,88,东,简装,中楼层(共8层),板楼,230
龙湖嘉天下紫晋城,池店南,118.615090960366,24.8926030377198,159,18032,3室2厅,88,东南,毛坯,中楼层(共34层),板楼,170
